Year,Description,Adilabad,Anantapur,Chittoor,Godavari East,Godavari West,Guntur,Hyderabad,Kadapa,Karimnagar,Khammam,Krishna,Kurnool,Mahabubnagar,Medak,Nalgonda,Nellore,Nizambad,Prakasam,Rangareddy,Srikakulam,Visakapatnam,Vizianagaram,Warangal
2004-05,GDP (in Rs. Cr.),6527.41,9286.21,9048.39,17289.9,12704.42,11878.6,16932.79,6287.94,9090.45,8194.36,14736.31,7994.95,7107.02,8906.57,7658.54,7612.73,4869.16,8507.54,13310.46,5059.99,19371.01,4988.9,7349.51
2005-06,GDP (in Rs. Cr.),7058.6,10047.71,10390.13,16827.15,12791.82,14374.44,20523.91,7050.27,11321.09,9041.8,16003.39,10170.95,8880.44,10613.4,9047.11,8607.98,5940.28,9959.52,17377.63,5570.88,20497.1,5315.09,8530.56
2006-07,GDP (in Rs. Cr.),8300.56,11252.83,11594.82,20208.88,14156.37,16183.82,25016.85,12448.79,12782.47,10194.87,18469.15,10428.54,9501.84,13879.77,10423.51,10215.8,6557.73,11801.02,21023.21,6482.82,24695.94,6125.5,9289.9
2007-08,GDP (in Rs. Cr.),9860.16,15937.45,14241.18,24081.05,17473.1,19125.08,30038.38,14393.29,14890.5,12203.87,22391.46,13636.17,11879.77,14716.18,14736.51,11952.25,7976.66,13304.8,24916.8,7615.25,30570.33,7639.31,11233.17
2008-09,GDP (in Rs. Cr.),12342.93,17713.73,15998.11,27446.05,18552.27,22550.47,35536.76,11911.79,18253.43,15183.27,26502.77,16400.6,14006.14,18732.63,18346.31,14451.33,11428.43,17495.58,31846.81,8835.04,30638.93,8886.84,13705.13
2009-10,GDP (in Rs. Cr.),13291,18647,17628,31687,22711,26441,39564,13197,19224,16439,31808,17560,16593,20744,18634,16455,10507,19389,34069,10427,37274,10104,14441
2010-11,GDP (in Rs. Cr.),16508,22071,22257,34374,28340,30764,47610,16548,25066,19857,35452,21199,20428,30668,22185,18231,14242,23450,48226,12149,42841,12187,19107
2011-12,GDP (in Rs. Cr.),17330,25577,26862,38600,30692,36133,54839,18875,28257,21412,40069,22657,22480,36418,24830,22349,15163,26593,54814,14023,50503,13864,20255
2012-13,GDP (in Rs. Cr.),19641,29133,30593,44254,35456,41650,62894,21440,32165,24402,46282,25963,25814,40075,28174,25569,17407,30474,61199,16050,56668,15858,23247
2005-06,Growth Rate % (YoY),8.14,8.2,14.83,-2.68,0.69,21.01,21.21,12.12,24.54,10.34,8.6,27.22,24.95,19.16,18.13,13.07,22,17.07,30.56,10.1,5.81,6.54,16.07
2006-07,Growth Rate % (YoY),17.59,11.99,11.59,20.1,10.67,12.59,21.89,76.57,12.91,12.75,15.41,2.53,7,30.78,15.21,18.68,10.39,18.49,20.98,16.37,20.49,15.25,8.9
2007-08,Growth Rate % (YoY),18.79,41.63,22.82,19.16,23.43,18.17,20.07,15.62,16.49,19.71,21.24,30.76,25.03,6.03,41.38,17,21.64,12.74,18.52,17.47,23.79,24.71,20.92
2008-09,Growth Rate % (YoY),25.18,11.15,12.34,13.97,6.18,17.91,18.3,-17.24,22.58,24.41,18.36,20.27,17.9,27.29,24.5,20.91,43.27,31.5,27.81,16.02,0.22,16.33,22.01
2009-10,Growth Rate % (YoY),7.68,5.27,10.19,15.45,22.42,17.25,11.33,10.79,5.32,8.27,20.02,7.07,18.47,10.74,1.57,13.86,-8.06,10.82,6.98,18.02,21.66,13.7,5.37
2010-11,Growth Rate % (YoY),24.2,18.36,26.26,8.48,24.79,16.35,20.34,25.39,30.39,20.79,11.46,20.72,23.11,47.84,19.06,10.79,35.55,20.94,41.55,16.51,14.94,20.62,32.31
2011-12,Growth Rate % (YoY),4.98,15.89,20.69,12.29,8.3,17.45,15.18,14.06,12.73,7.83,13.02,6.88,10.05,18.75,11.92,22.59,6.47,13.4,13.66,15.43,17.88,13.76,6.01
2012-13,Growth Rate % (YoY),13.34,13.9,13.89,14.65,15.52,15.27,14.69,13.59,13.83,13.96,15.51,14.59,14.83,10.04,13.47,14.41,14.8,14.59,11.65,14.45,12.21,14.38,14.77
