Year,Description,Ahmednagar,Akola,Amravati,Aurangabad,Beed,Bhandara,Buldhana,Chandrapur,Dhule,Gadchiroli,Gondia,Hingoli,Jalgaon,Jalna,Kolhapur,Latur,Mumbai,Nagpur,Nanded,Nandurbar,Nashik,Osmanabad,Parbhani,Pune,Raigad,Ratnagiri,Sangli,Satara,Sindhudurg,Solapur,Thane,Wahim,Wardha,Yavatmal
2005-06,GDP (in Rs. Cr.),14105,4589,7119,11303,5708,3784,4851,8424,4578,1991,3479,2266,12642,3804,16148,5066,92919,20423,6334,3953,25273,3564,3805,48995,11971,6045,9616,11128,2998,14180,54052,2108,4078,6759
2006-07,GDP (in Rs. Cr.),17134,5744,8081,13174,6743,4301,5779,8936,5413,2694,4003,2672,14733,4566,18674,5567,108884,23115,7378,4418,28907,4247,4614,56756,13823,6798,11013,12645,3439,16787,63044,2551,4600,7603
2007-08,GDP (in Rs. Cr.),20284,6878,10074,15959,8175,5322,7378,10519,6584,2773,4894,3514,17201,5557,21971,7390,130277,28183,8963,5136,32893,5329,5932,67952,16399,8292,13005,14845,4252,19318,76164,3327,5798,9574
2008-09,GDP (in Rs. Cr.),23708,8520,12616,22468,9079,6541,9315,12451,7925,3682,6044,3754,22559,7215,25823,8252,176334,36990,11168,4912,40278,5773,7355,88421,21417,9583,15434,17153,5517,21380,98487,3391,7329,12071
2009-10,GDP (in Rs. Cr.),24053,9717,15725,26610,10124,6392,10093,14676,9856,3972,5871,3987,26999,8233,29563,10607,191555,43791,12552,5157,43063,6665,7842,100786,22950,11771,17292,19551,6010,25964,112189,4548,7582,12121
2010-11,GDP (in Rs. Cr.),32392,11618,18471,31380,13175,7319,12813,17071,12437,4683,6722,4900,31281,10476,36645,12400,221647,47384,16615,6199,48529,9046,9786,117507,29517,13918,22801,23188,7161,30335,136818,6245,9059,15547
2011-12,GDP (in Rs. Cr.),35430,12693,19730,33704,13939,8300,13965,19970,13872,5989,7725,5271,32574,15039,40887,14625,252845,54586,17931,8146,53846,10414,10374,133432,34383,15807,25860,25790,9537,34733,158611,8741,10257,16414
2012-13,GDP (in Rs. Cr.),38710,15133,23770,36367,14689,9503,15958,23102,15624,6796,8973,6402,35149,11752,45576,17787,290661,62291,21257,8055,64041,10320,12353,149502,38684,16945,28499,28341,10453,37076,179478,9179,11844,19500
2006-07,Growth Rate % (YoY),21.47,25.17,13.51,16.55,18.13,13.66,19.13,6.08,18.24,35.31,15.06,17.92,16.54,20.03,15.64,9.89,17.18,13.18,16.48,11.76,14.38,19.16,21.26,15.84,15.47,12.46,14.53,13.63,14.71,18.39,16.64,21.02,12.8,12.49
2007-08,Growth Rate % (YoY),18.38,19.74,24.66,21.14,21.24,23.74,27.67,17.71,21.63,2.93,22.26,31.51,16.75,21.7,17.66,32.75,19.65,21.93,21.48,16.25,13.79,25.48,28.57,19.73,18.64,21.98,18.09,17.4,23.64,15.08,20.81,30.42,26.04,25.92
2008-09,Growth Rate % (YoY),16.88,23.87,25.23,40.79,11.06,22.9,26.25,18.37,20.37,32.78,23.5,6.83,31.15,29.84,17.53,11.66,35.35,31.25,24.6,-4.36,22.45,8.33,23.99,30.12,30.6,15.57,18.68,15.55,29.75,10.67,29.31,1.92,26.41,26.08
2009-10,Growth Rate % (YoY),1.46,14.05,24.64,18.44,11.51,-2.28,8.35,17.87,24.37,7.88,-2.86,6.21,19.68,14.11,14.48,28.54,8.63,18.39,12.39,4.99,6.91,15.45,6.62,13.98,7.16,22.83,12.04,13.98,8.94,21.44,13.91,34.12,3.45,0.41
2010-11,Growth Rate % (YoY),34.67,19.56,17.46,17.93,30.14,14.5,26.95,16.32,26.19,17.9,14.49,22.9,15.86,27.24,23.96,16.9,15.71,8.2,32.37,20.21,12.69,35.72,24.79,16.59,28.61,18.24,31.86,18.6,19.15,16.83,21.95,37.31,19.48,28.26
2011-12,Growth Rate % (YoY),9.38,9.25,6.82,7.41,5.8,13.4,8.99,16.98,11.54,27.89,14.92,7.57,4.13,43.56,11.58,17.94,14.08,15.2,7.92,31.41,10.96,15.12,6.01,13.55,16.49,13.57,13.42,11.22,33.18,14.5,15.93,39.97,13.22,5.58
2012-13,Growth Rate % (YoY),9.26,19.22,20.48,7.9,5.38,14.49,14.27,15.68,12.63,13.47,16.16,21.46,7.91,-21.86,11.47,21.62,14.96,14.12,18.55,-1.12,18.93,-0.9,19.08,12.04,12.51,7.2,10.2,9.89,9.6,6.75,13.16,5.01,15.47,18.8
